Question	OptionA	OptionB	OptionC	OptionD	Correct	Explanation
All of the following statements regarding pigment deposits are true except?	Autophagy	Globin is a pigment	Lymphocytes	Meiosis	B. Globin is a pigment	<b>Question</b><br>All of the following statements regarding pigment deposits are true except?<br><br><b>Correct answer:</b> B — Globin is a pigment<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Movement of which type of particle is involved in the generation of ATP?	Proton	Autophagy	Lipids	Neutrophils	A. Proton	<b>Question</b><br>Movement of which type of particle is involved in the generation of ATP?<br><br><b>Correct answer:</b> A — Proton<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Signal recognition particle/SR receptors are required for the translocation of..?	Exocytosis	Meiosis	Endothelial cells	Se- cretory Proteins	D. Se- cretory Proteins	<b>Question</b><br>Signal recognition particle/SR receptors are required for the translocation of..?<br><br><b>Correct answer:</b> D — Se- cretory Proteins<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Cells participating in closing the wound during..?	Nucleic acids	Myofibroblasts	Endothelial cells	RNA	B. Myofibroblasts	<b>Question</b><br>Cells participating in closing the wound during..?<br><br><b>Correct answer:</b> B — Myofibroblasts<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which cell type has a squamous shape?	Nucleic acids	Water	RNA	Endothelial cells	D. Endothelial cells	<b>Question</b><br>Which cell type has a squamous shape?<br><br><b>Correct answer:</b> D — Endothelial cells<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following statements about plasmalemma is true?	Meiosis	DNA	Ion channels are transmembrane proteins	Autophagy	C. Ion channels are transmembrane proteins	<b>Question</b><br>Which of the following statements about plasmalemma is true?<br><br><b>Correct answer:</b> C — Ion channels are transmembrane proteins<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following membrane proteins are not localised in the plasma mem- brane?	Nucleic acids	Adipocytes	Endocytosis	Histone molecules	D. Histone molecules	<b>Question</b><br>Which of the following membrane proteins are not localised in the plasma mem- brane?<br><br><b>Correct answer:</b> D — Histone molecules<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the cell types have more than one nucleus?	Carbohydrates	ATP	All are true except..Neu- trophil Leukocytes	Necrosis	C. All are true except..Neu- trophil Leukocytes	<b>Question</b><br>Which of the cell types have more than one nucleus?<br><br><b>Correct answer:</b> C — All are true except..Neu- trophil Leukocytes<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following statements about lysosomes is not true?	7OptimalpHoflysosomaldigestionispH	16OptimalpHoflysosomaldigestionispH	9OptimalpHoflysosomaldigestionispH	Optimal pH of lyso- somal digestion is pH 8.0	D. Optimal pH of lyso- somal digestion is pH 8.0	<b>Question</b><br>Which of the following statements about lysosomes is not true?<br><br><b>Correct answer:</b> D — Optimal pH of lyso- somal digestion is pH 8.0<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which of the following molecules are material carrier of life?	RNA	Protein & Nucleic acids	Lipids	Endocytosis	B. Protein & Nucleic acids	<b>Question</b><br>Which of the following molecules are material carrier of life?<br><br><b>Correct answer:</b> B — Protein &amp; Nucleic acids<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Golgi Complex-RER communication requires?	Lipid synthesis	Protein glycosylation	COP coated vesicles	Contains DNA/RNA/ribosomes	C. COP coated vesicles	<b>Question</b><br>Golgi Complex-RER communication requires?<br><br><b>Correct answer:</b> C — COP coated vesicles<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Clathrin coated vesicles are formed in?	Peroxisomes	Centrioles	Nucleolus	Trans Golgi network	D. Trans Golgi network	<b>Question</b><br>Clathrin coated vesicles are formed in?<br><br><b>Correct answer:</b> D — Trans Golgi network<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
The change of cell shape requires which following organelles?	Microfilaments (actin)	Dynein	Microtubules	Actin filaments	D. Actin filaments	<b>Question</b><br>The change of cell shape requires which following organelles?<br><br><b>Correct answer:</b> D — Actin filaments<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Which is the size range for peroxisomes?	0.5-1.5mm	-1.5--0.5	2.5-3.5	0-2.5	A. 0.5-1.5mm	<b>Question</b><br>Which is the size range for peroxisomes?<br><br><b>Correct answer:</b> A — 0.5-1.5mm<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which of the cytoskeletal proteins is components of nuclear lamina?	Myosin	Microfilaments (actin)	Dynein	Intermediate filaments	D. Intermediate filaments	<b>Question</b><br>Which of the cytoskeletal proteins is components of nuclear lamina?<br><br><b>Correct answer:</b> D — Intermediate filaments<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Secretory proteins?	Ions	Are not translocated into the RER	Nucleic acids	Apoptosis	B. Are not translocated into the RER	<b>Question</b><br>Secretory proteins?<br><br><b>Correct answer:</b> B — Are not translocated into the RER<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which type of molecules can pass through the nuclear pore?	Molecules with a nu- clear localisation signal	Glycogen	DNA	Glycolipids	A. Molecules with a nu- clear localisation signal	<b>Question</b><br>Which type of molecules can pass through the nuclear pore?<br><br><b>Correct answer:</b> A — Molecules with a nu- clear localisation signal<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which phase of the mitotic cycle is mediated by actin cytoskeleton?	Myosin	Dynein	Cytokenesis	Lamins	C. Cytokenesis	<b>Question</b><br>Which phase of the mitotic cycle is mediated by actin cytoskeleton?<br><br><b>Correct answer:</b> C — Cytokenesis<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Which of the following does not belong to cytoplasmic inclusions?	Lipids	Mitosis	Secretory vesi- cles	Autophagy	C. Secretory vesi- cles	<b>Question</b><br>Which of the following does not belong to cytoplasmic inclusions?<br><br><b>Correct answer:</b> C — Secretory vesi- cles<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The Zelwegger syndrome is related to biogenesis of which organelle?	Peroxixomes	Glycogen	Cytokinesis	Nucleic acids	A. Peroxixomes	<b>Question</b><br>The Zelwegger syndrome is related to biogenesis of which organelle?<br><br><b>Correct answer:</b> A — Peroxixomes<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following statements regarding the structure of biomembranes is true?	Phospholipids	Biomembranes are supermolecular lipoprotein complexes composes of polar lipids and proteins	Cholesterol	Glycolipids	B. Biomembranes are supermolecular lipoprotein complexes composes of polar lipids and proteins	<b>Question</b><br>Which of the following statements regarding the structure of biomembranes is true?<br><br><b>Correct answer:</b> B — Biomembranes are supermolecular lipoprotein complexes composes of polar lipids and proteins<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The process of apoptosis normally occurs?	Cell shrinkage	During mitotic cell death	Caspases	Programmed cell death	B. During mitotic cell death	<b>Question</b><br>The process of apoptosis normally occurs?<br><br><b>Correct answer:</b> B — During mitotic cell death<br><br><b>Core idea (exam focus)</b><br>Key cellular processes have defining features and molecular mediators.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify hallmark molecular mediators (e.g., caspases in apoptosis).</li><li>Differentiate growth, death, and division processes by defining criteria.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Apoptosis=caspases + cell shrinkage, necrosis=swelling + inflammation.
Secretory granules are characteristic for?	Neutrophils	Exocrine cells	Fibroblasts	Lipids	B. Exocrine cells	<b>Question</b><br>Secretory granules are characteristic for?<br><br><b>Correct answer:</b> B — Exocrine cells<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Mitochondrial ATP synthase is involved in?	Cristae	Oxidative Phosphorilation	ATP synthase	Proton gradient	B. Oxidative Phosphorilation	<b>Question</b><br>Mitochondrial ATP synthase is involved in?<br><br><b>Correct answer:</b> B — Oxidative Phosphorilation<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
What is the main function of the intermediate filaments?	Structural stability of the cell	Structural stability	Keratin	Lamins	A. Structural stability of the cell	<b>Question</b><br>What is the main function of the intermediate filaments?<br><br><b>Correct answer:</b> A — Structural stability of the cell<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Which of the following are non membranous?	Lamins	Microfilaments (actin)	Microtubules	Myosin	C. Microtubules	<b>Question</b><br>Which of the following are non membranous?<br><br><b>Correct answer:</b> C — Microtubules<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Which of the following statement about the cell theory is not true?	DNA	There is no close relationship between cell structure and function	Phagocytes	Nucleic acids	B. There is no close relationship between cell structure and function	<b>Question</b><br>Which of the following statement about the cell theory is not true?<br><br><b>Correct answer:</b> B — There is no close relationship between cell structure and function<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following is a market enzyme for lysosomes?	Acid phosphotase	Peroxisomal enzymes	Acid hydrolases	Acid phosphatase	A. Acid phosphotase	<b>Question</b><br>Which of the following is a market enzyme for lysosomes?<br><br><b>Correct answer:</b> A — Acid phosphotase<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Components of the mitotic spindle are, all true except?	Microtubules	Actin filaments	Myosin	Lamins	B. Actin filaments	<b>Question</b><br>Components of the mitotic spindle are, all true except?<br><br><b>Correct answer:</b> B — Actin filaments<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Ribosomes can attach to which of the following?	Protein synthesis	Outer nuclear membrane	Free polyribosomes	Attached to RER	B. Outer nuclear membrane	<b>Question</b><br>Ribosomes can attach to which of the following?<br><br><b>Correct answer:</b> B — Outer nuclear membrane<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which of the following statements is not true?	Proteins contain glycerol, fatty acids and ATP	Neutrophils	Proteins	Glycogen	A. Proteins contain glycerol, fatty acids and ATP	<b>Question</b><br>Which of the following statements is not true?<br><br><b>Correct answer:</b> A — Proteins contain glycerol, fatty acids and ATP<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following structures (centriole) is true?	10Eachcentrioleiscomposedofmicrotubuletripletsandinthecentre	18Eachcentrioleiscomposedofmicrotubuletripletsandinthecentre	Each centriole is composed of 9 microtubule triplets and 0 in the centre	8Eachcentrioleiscomposedofmicrotubuletripletsandinthecentre	C. Each centriole is composed of 9 microtubule triplets and 0 in the centre	<b>Question</b><br>Which of the following structures (centriole) is true?<br><br><b>Correct answer:</b> C — Each centriole is composed of 9 microtubule triplets and 0 in the centre<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
